Date	NumberOfDeaths
Apr 23	403
Apr 22	398
Apr 21	385
Apr 20	373
Apr 19	367
Apr 18	361
Apr 17	351
Apr 16	342
Apr 15	330
Apr 14	320
Apr 13	308
Apr 12	292
Apr 11	281
Apr 10	270
Apr 9	254
Apr 8	241
Apr 7	226
Apr 6	214
Apr 5	197
Apr 4	185
Apr 3	170
Apr 2	150
Apr 1	132
Mar 31	110
Mar 30	95
Mar 29	84
Mar 28	76
Mar 27	67
Mar 26	55
Mar 25	43
Mar 24	37
Mar 23	31
Mar 22	25
Mar 21	22
Mar 20	19
Mar 19	15
Mar 18	10
Mar 17	6
Mar 16	5
Mar 15	4
Mar 14	2
Mar 13	1
Mar 12	1
Mar 11	1
