Date	NumberOfDeaths
Apr 27	193
Apr 26	190
Apr 25	186
Apr 24	177
Apr 23	172
Apr 22	149
Apr 21	141
Apr 20	98
Apr 19	94
Apr 18	90
Apr 17	82
Apr 16	75
Apr 15	72
Apr 14	64
Apr 13	59
Apr 12	56
Apr 11	49
Apr 10	47
Apr 9	42
Apr 8	40
Apr 7	34
Apr 6	27
Apr 5	27
Apr 4	25
Apr 3	20
Apr 2	19
Apr 1	17
Mar 31	17
Mar 30	13
Mar 29	11
Mar 28	9
Mar 27	7
Mar 26	5
Mar 25	3
Mar 24	2
Mar 23	1
Mar 22	1
Mar 21	1
Mar 20	1
